participant,trial_num,trial_type,emotion,framing,peer,risk_level,FinancialDecisionResp.keys,FinancialDecisionResp.rt
10,8,emotion,Negative,Neutral,Absent,High,2,24.0187
10,40,framing,Neutral,Loss,Absent,Low,2,16.3142
10,6,emotion,Neutral,Neutral,Absent,High,2,25.5909
10,3,emotion,Neutral,Neutral,Absent,Low,2,14.0784
10,20,peer,Neutral,Gain,Absent,Low,2,10.8371
10,33,framing,Neutral,Gain,Absent,High,2,15.4477
10,11,peer,Neutral,Gain,Present,Low,2,4.4515
10,34,framing,Neutral,Loss,Absent,High,2,2.7009
10,27,peer,Neutral,Gain,Present,High,2,1.7496
10,26,peer,Neutral,Loss,Absent,High,2,23.0633
10,25,peer,Neutral,Loss,Present,High,1,6.8476
10,10,emotion,Positive,Neutral,Absent,High,2,2.8475
10,4,emotion,Positive,Neutral,Absent,High,2,2.6687
10,23,peer,Neutral,Gain,Present,Low,2,5.2647
10,14,peer,Neutral,Loss,Absent,High,2,4.3008
10,37,framing,Neutral,Gain,Absent,High,2,26.6844
10,15,peer,Neutral,Gain,Present,High,2,1.7665
10,17,peer,Neutral,Loss,Present,Low,1,1.335
10,36,framing,Neutral,Loss,Absent,Low,2,7.8011
10,29,peer,Neutral,Loss,Present,Low,2,3.0566
10,30,peer,Neutral,Loss,Absent,Low,2,2.9844
10,12,peer,Neutral,Gain,Absent,Low,2,1.6012
10,5,emotion,Negative,Neutral,Absent,Low,2,2.9016
10,35,framing,Neutral,Gain,Absent,Low,2,15.7517
10,38,framing,Neutral,Loss,Absent,High,2,2.1514
10,18,peer,Neutral,Loss,Absent,Low,2,1.4885
10,7,emotion,Positive,Neutral,Absent,Low,2,1.9663
10,19,peer,Neutral,Gain,Present,Low,2,7.0473
10,1,emotion,Positive,Neutral,Absent,Low,2,3.3657
10,24,peer,Neutral,Gain,Absent,Low,2,1.2843
10,13,peer,Neutral,Loss,Present,High,1,1.9856
10,2,emotion,Negative,Neutral,Absent,High,2,2.2025
10,32,framing,Neutral,Loss,Absent,Low,2,1.3923
10,21,peer,Neutral,Loss,Present,High,1,1.5323
10,39,framing,Neutral,Gain,Absent,Low,2,2.7166
10,16,peer,Neutral,Gain,Absent,High,2,0.8179
10,31,framing,Neutral,Gain,Absent,Low,2,2.3115
10,9,emotion,Neutral,Neutral,Absent,Low,2,1.1045
10,22,peer,Neutral,Loss,Absent,High,2,0.8596
10,28,peer,Neutral,Gain,Absent,High,2,0.0678
22,7,emotion,Positive,Neutral,Absent,Low,1,27.212
22,27,peer,Neutral,Gain,Present,High,2,37.1071
22,6,emotion,Neutral,Neutral,Absent,High,2,20.3755
22,20,peer,Neutral,Gain,Absent,Low,1,21.3827
22,36,framing,Neutral,Loss,Absent,Low,1,11.0099
22,12,peer,Neutral,Gain,Absent,Low,1,9.4789
22,15,peer,Neutral,Gain,Present,High,2,4.6087
22,16,peer,Neutral,Gain,Absent,High,2,2.9505
22,33,framing,Neutral,Gain,Absent,High,2,7.2509
22,29,peer,Neutral,Loss,Present,Low,2,10.0681
22,14,peer,Neutral,Loss,Absent,High,2,3.8024
22,13,peer,Neutral,Loss,Present,High,2,6.4995
22,25,peer,Neutral,Loss,Present,High,2,9.1082
22,22,peer,Neutral,Loss,Absent,High,2,5.5225
22,24,peer,Neutral,Gain,Absent,Low,2,19.8047
22,23,peer,Neutral,Gain,Present,Low,2,3.7834
22,34,framing,Neutral,Loss,Absent,High,2,1.9721
22,9,emotion,Neutral,Neutral,Absent,Low,2,2.6148
22,40,framing,Neutral,Loss,Absent,Low,2,2.6871
22,5,emotion,Negative,Neutral,Absent,Low,2,4.9318
22,1,emotion,Positive,Neutral,Absent,Low,2,17.1084
22,30,peer,Neutral,Loss,Absent,Low,2,7.1704
22,3,emotion,Neutral,Neutral,Absent,Low,2,1.1705
22,31,framing,Neutral,Gain,Absent,Low,2,1.6489
